date,VOL
20140205,55841097
20140206,35385724
20140207,33348208
20140210,26801014
20140211,32165979
20140212,27055869
20140213,37647772
20140214,42986838
20140218,32840207
20140219,29794084
20140220,27541038
20140221,38030906
20140224,32143495
20140225,30868557
20140226,41042629
20140227,33919024
20140228,41217028
20140303,29855203
20140304,26886337
20140305,20495432
20140306,23605310
20140307,26596635
20140310,19008505
20140311,25218133
20140312,30496295
20140313,32169650
20140314,27195638
20140317,20479888
20140318,64063866
20140319,35597241
20140320,59270661
20140321,80732142
20140324,46128974
20140325,43193147
20140326,41982966
20140327,35680256
20140328,43472747
20140331,46886284
20140401,32623882
20140402,28667570
20140403,30140545
20140404,51409573
20140407,37559615
20140408,35919609
20140409,27398787
20140410,45960848
20140411,34333298
20140414,32007201
20140415,33978673
20140416,30616304
20140417,36689399
20140421,22222222
20140422,27057271
20140423,24602781
20140424,42382794
20140425,56883812
20140428,50612308
20140429,29637370
20140430,35464148
20140501,28791455
20140502,43417914
20140505,22460928
20140506,27112373
20140507,41749497
20140508,32123032
20140509,29647646
20140512,23037185
20140513,27004768
20140514,18818711
20140515,37793243
20140516,29918272
20140519,24537438
20140520,21322341
20140521,22403892
20140522,20202485
20140523,18020866
20140527,26161164
20140528,25711465
20140529,19893872
20140530,34575579
20140602,18511368
20140603,18071096
20140604,23213931
20140605,31930382
20140606,24061290
20140609,15090875
20140610,15117689
20140611,18040290
20140612,29823030
20140613,26310697
20140616,24280128
20140617,22518730
20140618,27097228
20140619,19837767
20140620,47765407
20140623,18743905
20140624,27036352
20140625,20051576
20140626,23604409
20140627,74723348
20140630,30805472
20140701,27439373
20140702,20208526
20140703,15969315
20140707,22003619
20140708,31218208
20140709,18445910
20140710,21856832
20140711,24088547
20140714,21882943
20140715,29275783
20140716,63322372
20140717,82207381
20140718,43407490
20140721,37609378
20140722,43095820
20140723,52368395
20140724,30725348
20140725,26738524
20140728,29687677
20140729,27764099
20140730,31925735
20140731,31540882
20140801,31180968
20140804,34277387
20140805,26267500
20140806,24633966
20140807,30315183
20140808,28945621
20140811,20351600
20140812,21433725
20140813,22889484
20140814,19313194
20140815,41634438
20140818,26896074
20140819,28139494
20140820,24770487
20140821,22285502
20140822,18295116
20140825,16909999
20140826,14877769
20140827,21287931
